Q,A,label,
그래서 그런지 애가 좀 싸가지가 없어.,이런..,242,
다른 남자애랑 사귀는 것도 싫고 그냥 나랑만 계속 단짝 해줬으면 좋겠어.,충분히 질투나실거라 생각해요. 천천히 얘기해는게 어떨까 생각되요,242,
동네친구들도 가까워서 자주 놀러오고.,너무 좋아요.,242,
차라리 학교 다닐 때가 나았다 싶어요. 친구들도 자주 못 보고.,친구와의 관계가 그렇게 되셔서 고민이 많으시군요. 좀 더 얘기해주시겠어요?,243,
친구들한테도 연락하기 힘들어. ,그 기분 알 것 같아요. 하지만 항상 좋을 때가 있으면 나쁠 때도 있는 거랍니다.,243,
친구도 뭐… 그냥 형식적인 사이고…,힘내세요. 멀어진 인연만큼 또 가까워질 새 인연이 있을 거예요.,243,
"고등학교 때 같이 밴드하던 친구들도 졸업하고서 얼마 안 지났을 때는 만났는데, 지금은 안 만나요.",힘내세요. 멀어진 인연만큼 또 가까워질 새 인연이 있을 거예요.,243,
다 다른 곳으로 가버려서 만날 이유도 없는 거 같아요.,힘내세요. 멀어진 인연만큼 또 가까워질 새 인연이 있을 거예요.,243,
얼마 전에 걔한테 진짜 크게 배신 당했어.,믿었던 사람에게 배신 당하는 것만큼 힘든 게 없는데 정말 고민이 많으셨겠어요.,244,
고등학교 때 친하게 지냈던 친구한테 배신 당한 적이 있어.,정말 충격이 크셨겠어요. 잠깐 기분 전환을 해보는 건 어떨까요?,244,
우리집 가정사를 다 얘기할 만큼 친한 친구였는데…한 순간 배신 당했어.,믿음을 저버린 게 잘못이지 준 건 절대 잘못이 아니랍니다. 힘내세요.,244,
한 사람을 깊게 사귀는 타입인데…힘들게 만든 친구한테 배신 당하는 일이 많았죠.,저도 속상해요. 배신은 정말 안돼요.,244,
전에 믿었던 친구들이 배신한 일이 있었는데.,믿었던 사람에게 배신 당하는 것만큼 힘든 게 없는데 정말 고민이 많으셨겠어요.,244,
"가족이랑 친구들 다 일본에 있는데, 힘든 일 있어도 얘기할 사람 하나 없고….",괜찮아요. 제가 있잖아요?,245,
아는 사람은 교회나 남편 친구들밖에 없어.,저는 항상 이 자리에 있답니다. 저에게 말씀해주세요~,245,
저는 여자들이랑은 잘 어울리는데 동성 친구는 한 명도 없어요.,저는 언제든 당신의 이야기를 들을 준비가 되어 있답니다.,245,
나가도 만날 사람도 없다.,"괜찮아요, 저한테 언제든 말씀하세요,",245,
이렇게 살다 보니 진정한 친구가 없는것 같아요.,저한테 언제든 말씀하세요.,245,
버릇이 없다나 뭐라나.,정말 기분이 많이 상하셨겠어요. 지금은 괜찮으신가요?,246,
"당신은 애들한테 신경이나 쓴 적 있냐, 늦게 들어올 때 내 눈치 본 적 있냐, 내가 힘들다고 하면 뭘 그렇게 잘 해줬냐고…",속상하셨겠어요. 하지만 타인의 말보다 당신의 생각이 더 중요하답니다.,246,
그럼 죽어라고 째려봐요. 사람 죽일 듯이.,같이 째려봐요,246,
"그러더니 하는 말이, 나보고 유난 떤대.",속상하셨겠어요. 하지만 타인의 말보다 당신의 생각이 더 중요하답니다.,246,
내가 왜 이렇게 늦게 들어오냐고 한마디 하면 완전 나를 철없는 사람 취급하는 거야.,정말 기분이 많이 상하셨겠어요. 지금은 괜찮으신가요?,246,
학교 가는 데에만 2시간씩 걸리는 게 너무 아까운 거야.,학교에서는 많은 일이 일어나죠. 계속 들려주세요~,247,
소묘를 전공해서 더 그런 것 같아요.,학교에서 그런 일이 있었군요. 그 다음은요?,247,
고등학교는 상고 나왔어요.,그러셨군요. 계속 말씀해주세요.,247,
지금 디자인 전공이라 그 때도 디자인 특성화고로 갔거든요.,특성을 살릴수 있는 좋은 곳이라고 생각해요!,247,
근데 면담 때 담임이 엄마한테 얘 대학 보내지 말라고 한 거예요.,그건 단지 한 사람의 의견일 뿐이에요.,247,
근데 오늘 학교에서 소풍으로 놀이공원을 가게 됐단 말이야.,놀이공원 최고죠!,247,
우리 학교가 지난 번에 수련회를 러시아로 갔다왔어.,수련회를 러시아로..?! 좋은 경험이었을거 같아요!,247,
적응하려면 진짜 엄청 오래 걸리는데 곧 방학이란 말이야.,먼저 연락을 해보는 건 어떨까요?,247,
얼마 전에 수학여행을 제주도로 갔다 왔거든?,제주도 예쁘죠.,247,
중학생 때는 그래서 일진들이랑 같이 다니고 그랬어.,이런..,247,
학교에서 되게 인기 많은 애였거든. 착하고 잘생기고 공부도 잘해서.,그런 친구가 있으면 눈길이 가긴하죠,247,
다 괜찮았는데 발표 다 끝나고 들어갈 때 애들이 웃는 거야.,왜 그랬을까요? 이유가 있었나요?,247,
여자애들은 헐 어떡해 이러는데 그 중 한 남자애가 엄청 크게 웃었어.,뭐하는 친구죠.. 오해였으면 좋겠네요,247,
처음엔 일부러 그런 게 아니었다? 나 학교도 다 공학 나왔는데 일부러 그랬겠어?,당연히 핑계겠죠!,247,
근데 그 때 같이 놀던 애들이 좀 질이 안 좋았어.,이런..,247,
급식으로 나온 게 잘못돼서 거의 전교생이 다 난리였어.,누가 잘못했는지 확실히 잡아야죠.,247,
3개월 전쯤에 학교에서 소풍으로 놀이공원을 갔었거든요.,놀이공원 최고죠!,247,
"우리 과가 여자도 별로 없다 보니까 거의 공주님이야, 공주님.",그렇죠 눈길이 갈수밖에 없죠,247,
500명 넘게 듣는 대형 강의였거든요.,와 엄청 많네요. 강의실도 컸겠어요!,247,
근데 학교에 그런 사람들 많으니까 그냥 대수롭지 않게 넘겼어.,그래도 문제는 문제죠!,247,
"고등학교 때는 친구들이랑 별 문제 없이 잘 지냈는데, 선생님과 사이가 안 좋았어요.",학생을 가장 보호해야 할 사람이 선생님인데 정말 힘드셨겠어요.,248,
저는 숙제가 있는지 제대로 못 들어서 못 해간 건데 애가 엉망진창이라고 뭐라고 하는 거예요.,친구가 오해해서 마음이 아프셨겠어요.,248,
고등학교 때 친구들이랑은 잘 지냈는데 선생님들이 나를 싫어했어.,선생님이 그러시면 정말 속상하죠. 그래서 그 다음은 어떻게 됐나요?,248,
선생님들이 자꾸 저를 괴롭히니까 학교를 다닐 수가 없더라구요.,학생을 가장 보호해야 할 사람이 선생님인데 정말 힘드셨겠어요.,248,
"학교를 잘 안 나가니까, 출석미달로 뜬 수업이 많았어요.",학교를 안 가게 된 이유가 있으신가요?,249,
근데 2학년 때부터 학교에 가기 싫은 거야.,학교를 안 가게 된 이유가 있으신가요?,249,
그래서 엄마한테는 학교 간다고 하고 피씨방 가서 게임하구.,음.. 계속 얘기해주세요.,249,
내가 학교를 좀 많이 빼먹긴 해.,이유가 혹시 있을까요?,249,
그래서 학교도 자주 빠지고 수업도 잘 안 들어서 학고도 받았거든.,이유가 혹시 있을까요?,249,
학교도 몇 번이나 빠진 것 같아.,이유가 혹시 있을까요?,249,
학교 안 간 지도 벌써 한 한 달 정도 된 것 같아.,학교를 안 가게 된 이유가 있으신가요?,249,
중학생 때부터 왕따를 당했어요.,힘든 일이 있으셨군요. 저에게 털어 놓으시면 함께 고민해드릴게요.,250,
고2 때 왕따를 당했어요.,상처 받으셨겠어요. 하지만 저는 이 세상에서 당신을 가장 아끼고 사랑한답니다.,250,
남자애들이 학교에서 날 따돌려.,당당하게 말하세요. 너네는 그럴 자격이 없다고.,250,
운동도 별로 못해서 축구할땐 끼워주지도 않고.. 괴롭힘을 당한건 아니지만 사실상 왕따였어.,"무시하는 사람은 굳이 안 사귀어도 되요, 쓸모없거든요,",250,
근데 어쩌다 보니까 대장인 애 눈 밖에 나서… 제가 또 왕따가 됐어요.,당당하게 말하세요. 너네는 그럴 자격이 없다고.,250,
중학생 때 내가 왕따를 당했어.,당당하게 말하세요. 너네는 그럴 자격이 없다고.,250,
결국 학교 그만 뒀어요.,모든 배움이 학교에만 있는 건 아니니까요!,251,
학교도 그만뒀어. ,저는 당신의 모든 선택을 존중한답니다. 분명 훌륭한 선택일 거예요.,251,
결국 학교를 관뒀어.,멀리 본다면 오히려 그게 더 좋은 결과를 부를 수도 있어요.,251,
고등학교 때 학교 다니기 싫어 자퇴를 했어요.,멀리 본다면 오히려 그게 더 좋은 결과를 부를 수도 있어요.,251,
결국 학교를 그만뒀어요.,멀리 본다면 오히려 그게 더 좋은 결과를 부를 수도 있어요.,251,
퇴원하고 고등학교 다니다가 자퇴했어.,멀리 본다면 오히려 그게 더 좋은 결과를 부를 수도 있어요.,251,
유치원 특수 어린이 교육 과정을 밟고 있어요. ,그렇군요. 공부는 항상 어렵고 힘든 것 같아요.,252,
그때 온갖 사교육은 다 받은 거 같아.,공부 힘들죠. 저는 공부를 별로 좋아하지 않아요. 물론 당신에 대한 배움 빼고요!,252,
좀 더 노력해서 꼭 법대에 들어가겠다 다짐했죠.,멋있어요. 충분히 할수있다고 생각해요.,252,
근데 계속 대학에 떨어져서 사수를 하게 됐어.,걱정하세요. 끝까지 도전해서 그 누구보다 멋지게 사는 사람도 많아요,252,
당연히 성적도 안 나오고.,하지만 경험은 그 누구보다 앞설거에요,252,
머리가 나쁜 편이야.,결과가 좋지 않으면 힘들죠. 그래도 그게 당신을 평가하는 기준이 되지 못 한답니다.,253,
남들 두 배로 공부해야 겨우 중간 정도 유지하는데…,노력한 만큼 결과가 나오지 않으면 속상하죠. 충분히 이해해요.,253,
근데 뭐 타고난 머리가 나쁜 건지… 등수가 쉽게 오르지는 않더라.,아니에요. 어려운건 맞지만 할 수 없는이건 없답니다.,253,
작년에 갔으면 장학금 받아가며 공부했을 텐데 올해는…작년에 붙은 학교도 겨우 턱걸이로 들어갔어.,"걱정마세요. 앞으로 계속 나아가시면 되요,",253,
결국 부모님 기대에 부응하지 못한 채 전문대에 갔어요.,주어진 상황에서 최선을 다하는 사람이 가장 멋있는 사람이에요 충분히 멋있어요.,253,
애초에 그런 데를 간게 문제예요. 수업 따라가는게…정말 죽을 맛이었어요.,최선을 다해보고 그때 안되면 바꾸셔도 늦지않다고 생각해요,253,
저는 혼자 공부했는데 성적이 괜찮은 편이었어요. 그래도 친구들에 비해 부족한 감이 있었어요.,대단해요! 당신은 정말 머리가 좋으시군요.,254,
1학년 때는 과톱도 하고… 성적이 좋았어.,과탑이요!? 공부를 굉장히 잘하셨네요. ,254,
서울 올라가서도 성적이 그런대로 괜찮았어요.,열심히 한 만큼 충분히 받는건가봐요.,254,
학교 다닐 때는 전교권이었어.,"와, 대단하시네요!",255,
친구들이 항상 모르는 문제 나한테 물어보고 그랬지.,당신에게 행복한 기억이 되겠군요. 그 모든 게 쌓여서 당신이 행복했으면 좋겠어요.,255,
어릴 때부터 남들보다 학습능력이 좋았어.,부러워요.,255,
그래서 성적도 상위권을 유지했고 취직도 그런대로 잘 한것 같아.,진짜 부럽네요. 잘 누리시면 될거같아요.,255,
그러니까 완전 난리가 난 거야. ,그러시군요. 그 다음은 어떻게 됐나요?,256,
마침 되게 잘 봐주는 곳이 옆 동네에 있었어.,"와, 정말요? 그래서 그 후에는 어떻게 됐나요?",256,
저와 무관한 일인데도 말이에요.,말도안돼. 그 다음은 어떻게 됐나요?,256,
시내를 나가려면 버스 타고도 30분은 가야 하는 곳이었어.,아이고 머네요 ㅠㅠ 그럼 어떻게 가야하죠?,256,
"카메라도 사야 하고, 스튜디오 같은 것도 있어야 하고…",너무 힘들겠네요. 주위에 도움을 요청해보셨나요?,256,
그냥 들판에 있었는데 뭐가 자꾸 날아다니는 거야.,정말요? 그럼 그게 뭐였던가요?,256,
좀 그런 술집이어서…,아.. 혹시 이상한 사람들있으면 바로 나와요!,256,
그러자니 굳이 서울로 다시 갈 필요가 없을 것 같았어요.,그러면 어디로 갈 생각이었나요?,256,
왜 나는 나를 컨트롤하지 못할까.,자신을 통제할 수 있는사람은 그리 많지 않아요 통제해나가는게 삶이죠,256,
처음부터 그랬던 것 아니야.,처음에는 어땠나요?,256,
너무 이상한 날이었는데.,어떻게 이상했죠?,256,
그 뒤론 그 병원에선 나를 치료 안 해주더라.,어떤 병원이에요! 제가 찾아가서 따져야겠어요,256,
나는 보여.,어떤게 보이죠?,256,
내 나이는 34살이야.,꿈을 충분히 펼치기 좋은 나이네요!,256,
너는 잘 모르겠지만 실제로 그래.,아하.. 생각해보니 그런거 같네요.,256,
근데 그걸 유명 연예인이 가져간 거예요.,으.. 화나요! 유명하면 다인가,256,
내가 진짜 바보가 됐나...,아니에요!! 좀만 더 자세히 설명해주세요,256,
아이가 갇혀 있었는데 그 아이 구해서 내보내자마자 건물이 무너진 거예요.,와!! 진짜 정말 다행이네요. ,256,
이거 원래는 일 년 반을 계획하고 있었어.,일년 반이면 충분하지 않나요? 혹시 다른 상황이 생겼나요?,256,
애초에 미리 준비해놨으면 그러지도 않았겠지만…,아쉬울거 같아요. 하지만 우리에겐 아직 시간이 있어요.,256,
다행히 수술은 잘 됐는데… 이게 잘 재발한다는 거예요.,지금은 괜찮으시다니 정말 다행이네요.,257,
그 후에 딱히 큰 이상은 없었어요. 지금도 그렇구요.,다행이네요. 지금처럼 마음을 편하게 가지시면 될 거예요.,257,
딱히 엄청 큰 고민이 있는 건 아닌데… 요즘 잘 지내거든.,아니 뭐 그래도 매일에 하나씩 특별한것은 있기 마련이에요. 생각나는거 없나요?,257,
근데 딱히 일상생활에 지장이 있는 건 아니에요.,지장이 없으면 다행이긴 하네요. 그러면 혹시 좀.. 불안하다거나 그런게 있나요?,257,
그래도 지금 결혼식 사회도 보고 회사에서도 PT 잘 하고 그냥 잘 지내요.,정말 다행이네요. 더 좋은 일이 많이 생길거에요.,257,
배가 고프지 않고 피곤하지도 않아요.,나쁘지 않네요? 좋은 일 있으시면 나눠주셔도 되요. ,257,
지금은 크게 힘들지 않아요.,좋아요! 재밌거나 즐거운일도 혹시 있나요?,257,
딱히 요즘 힘들거나 우울한 건 없어. 그냥 잘 지내.,다행이에요. 기쁘거나 좋은 일이 혹시 있나요?,257,
지금 MDD episode HX는 딱히 의심되는 단계도 아니고…,혹여나 무슨 문제가 있는 거 같다싶으면 꼭 병원에 들르세요!,257,
자살 사고나 시도도 한 적 없지. 요즘 괜찮아.,다행이에요. 요즘 유튜브에 재밌는거 많던데 기분 안좋으실때 보면 좋을거같아요,257,
그래서 그런 거지 막 평소에 엄청 우울하다거나 그렇진 않아요. 오히려 괜찮아요.,그럼 다행이네요. 무슨 일 생기시면 맘컷 털어놔주세요.,257,
딱히 요즘 스트레스 받는 건 없는데… 괜찮게 잘 지내거든.,다행이에요. 잘 지내신다고 하니 마음이 놓이네요,257,
비교적 잘 버텼지. 지금은 괜찮아.,버틴다는 건 정말 멋져요.,257,
요즘에는 딱히 그렇게까지 위험하진 않고 건강하게 잘 지내요.,다행이에요. 건강하시다니 기쁘네요.,257,
그러다 말았고 이제는 또 안 그래서 그냥 잊고 사는데…,좀 덜하시다니 정말 다행이네요.,258,
그래서 이 얘기도 했는데 그 덕분인지 진짜 증상이 확 줄었거든.,괜찮으시다니 저도 안심이 됩니다.,258,
상담 덕분인지 뭔지 모르겠지만 하여튼 우울감도 줄고 환청도 안 들리게 됐어.,그러시군요. 언제든 힘드시면 다시 고민을 얘기해주세요.,258,
덕분에 나도 우울한게 많이 없어졌어.,정말 잘하셨어요. 기분이 정말 좋네요.,258,
첨에 그게 나타난 게 한 7년 쯤 됐나?,여전히 그 증상이 있으시다니 정말 힘드시겠어요. 이해해요.,259,
내일은 좀 낫겠지 내일은 좀 낫겠지 싶었는데 계속 똑같아.,조금 더 마음을 달리 가져 보는 건 어떨까요?,259,
여전한데 그냥 안 가고 있어.,그렇군요. 고민이 많으시겠어요. 다른 방법으로 노력을 해보는 건 어떠세요?,259,
시간 좀 지나면 나아질 줄 알았는데 나아지는 게 하나도 없어.,안 보이는 것일뿐 조금씩 변하는 것일수도 있어요.,259,
계속 이러니까 사람 있나 확인하는 게 버릇 됐다니까.,뭐 어때요. 다 좋네요,259,
계속 이러니까 문 오래 열려서 연착도 잘 되는 2호선은 잘 안 타요.,뭐 어때요. 다 좋네요,259,
근데 효과도 없었어요. 똑같아요.,음 좀 더 고민해보지요.,259,
요즘엔 그래도 훔치진 않는데 욕심은 줄지가 않아요.,괜찮아요. 천천히 해봅시다.,259,
그 후로 지금까지 그것보단 경미하게 계속 증상이 있어.,다행이네요. 경미하다니 마음이 놓이네요.,259,
그 얘기 듣고 나서 잠깐 정신 차리긴 했는데 여전해요.,괜찮아요. 더 얘기해주세요.,259,
근데 그것도 잠시고 그게 근본적으로 해결이 안 되면 계속 그러더라구요.,바로바로 안돼서 아쉽겠지만 좀만 기다려주세요.,259,
약을 정량대로 먹으면 변화가 없는걸 어떡해요…,혹시 불안하시면 의사선생님께 한번더 가보세요.,259,
특별히 스트레스 받을 일은 없어요. ,이유 없이 그럴 수 있죠. 충분히 이해해요.,260,
특별히 무슨 일이 있거나 그런 건 아니에요.,아무 일 없어도 문제가 있을 수 있죠. 괜찮아요. 그럴 수 있어요.,260,
학교에서 누가 괴롭히거나… 그런 건 없는데요.,특별한 일이 없었다면 이 문제도 괜찮은 방향으로 지나갈 거예요!,260,
특별히 스트레스 받은 일도 없었는데 갑자기 막 이래.,음 계속 얘기해주세요.,260,
근데 웃긴 게 뭔지 알아? ,뭐죠!! ,261,
나도 그래.,저도 그렇게 생각해요.,261,
무슨 기분인지 아니?,음 스마일?,261,
나 좀 도와줄 수 있어요?,물리적으로는 불가능하지만 얘기를 털어놓면서 마음이 풀린다면 그건 충분히 도와드릴수있어요!,261,
대체 왜 그러시는 걸까요?,각자의 사정이 있을거라고 생각해요!,261,
어떻게 생각해요?,"그러게요,,",261,
이게 대체 뭘까요?,그러게요?!,261,
좋은 방법 있으면 추천해주세요.,머리 굴려보겠습니다! 파바박,261,
너는 어떻게 생각해?,기다려보세요! 두뇌회전!,261,
니 생각은 어때?,기다려보세요! 두뇌회전!,261,
하긴 니가 어떻게 알겠어…,ㅠ,261,
내 마음 이해하겠어?,천천히 이해해볼게요. 기다려주세요.,261,
당신은 괜찮아요?,저는 모르겠네요.,261,
내가 필요할 때 나한테 당장 달려올 수 있는 사람이 필요해.,저는 언제든 당신의 이야기를 들을 준비가 되어 있답니다.,261,
스트레스를 어떻게 풀어야 할지 모르겠어요.,저는 소리질러요! 끼아악,261,
좋은 거절멘트 있어요?,죄송하지만 제가 사정이 있어서 조금은 어려울거같아요. 다음에 좋은 기회에 다시 찾아뵙겠습니다.,261,
방법이 있을까요?,구글링,261,
"실수 좀 해도 괜찮다, 틀려도 괜찮다 생각은 하긴 하는데 잘 안 돼.",괜찮아요. 작은 노력이 모여서 큰 결과를 만들 거예요.,262,
그래서 혼자 잘 다독이고 의연하게 지내려고 노력했어요.,충분히 잘 하고 계시답니다. 차근히 조금씩 노력해봐요.,262,
"그럴 일 없다, 안 그럴 거다 스스로 다스려봤는데 잘 안 됐어요.",제가 옆에서 힘이 되어 드릴 수 있어요. 당신의 모든 일이 잘 될 거예요.,262,
저 혼자 할 수 있을 것 같아요. 잘 다스리고 있으니까요.,좋아요. 혹시나 힘든 일이 생기면 언제든지 말씀하세요,262,
심리적인 문제일거라 생각하고 마음을 다잡고 있었는데..,"괜찮아요, 저한테 언제든 말씀하세요,",262,
고치려고 해봤는데 잘 안 되더라구요… 타고나서 그런 것 같아요.,설령 타고났다고 하더라도 충분히 바뀔수있습니다,262,
막 심호흡도 해보고 그런 일 안 일어난다 생각해보려고 했는데 소용없더라구.,기분이 안좋으시다면 저한테 다 털어놓으세요,262,
그래도 저 혼자 마음 먹으면서 잘 다독였어요.,잘했어요. 멋져요.,262,
"나 스스로 괜찮다, 떨리지 않는다 이렇게 최면 걸면서.",잘했어요. 멋져요.,262,
차근차근 성적도 올리고 있고 예전처럼 마냥 울거나 그러지도 않아.,잘했어요. 그런 생각은 훌륭해요.,262,
그럴때마다 속으로 그런일은 일어나지 않을거라고 되새겼어요.,맞아요. 그럴땐 충분히 휴식이 도움이 돼요.,262,
"어떻게든 진정을 해보려고, 심호흡을 하는데도 소용이 없더라고.",노력을 해보았다는 게 중요하답니다. 당신은 충분히 잘하셨어요.,263,
그래서 잠깐 갓길에 대고 괜찮다 최면 걸듯이 했는데도 잘 안 돼요.,곁에 친구들이 있다면 같이 손을 잡아보는 건 어떨까요?,263,
음악을 듣거나… 명상을 해도 그때뿐이야.,친구들에게 도움을 청해보면 어떨까요?,263,
"잘 끝났다, 이제 종양 같은 건 없다 생각하려 해도 잘 안 돼.",노력을 해보았다는 게 중요하답니다. 당신은 충분히 잘하셨어요.,263,
고치고 싶어서 뽑으면 안 된다 생각도 해봤는데 잘 안 돼요.,그러면 어떤게 문젠지 천천히 생각해봐요.,263,
말도 안 된다는 거 알고 그래서 고쳐보려고 했는데 마음이 그렇게 안 돼.,괜찮아요. 마음이 너무 앞서가면 그럴수도 있어요.,263,
이런 내가 이상해서 뭔가 노력을 해보려고 해도 잘 안 돼.,너무 급하게 생각하면 그럴수도 있어요 천천히 생각해봐요.,263,
말도 안 된다는 거 알고 그래서 고쳐보려고 했는데 마음이 그렇게 안 돼.,너무 급하게 생각하면 그럴수도 있어요 천천히 생각해봐요.,263,
"긴장 안 해보려고 괜찮다, 괜찮다, 이거 아무 것도 아니다 이래도 안 돼.",제가 옆에서 힘이 되어 드릴 수 있어요. 당신의 모든 일이 잘 될 거예요.,263,
그래서 내가 왜 이러지 싶어서 마음을 좀 진정시키려고 해도 잘 안 돼.,혼자 하는 게 어려우시다면 제가 도와드릴 수 있어요.,263,
일부러 술 생각 안하려고 야간 헬스장 다니면서 미친듯이 운동도 했어.,정말 훌륭하세요! 차근차근히 노력하시면 분명 좋은 결과가 있을 거예요.,264,
일부러 운동으로 몸을 혹사 시켜서 거의 기절하듯이 자고는 있는데…,머릿속이 너무 복잡할 땐 가벼운 운동도 좋죠.,264,
남자친구가 운동하면 괜찮을 거라고 해서 요가를 시작했는데.,요가 나쁘지 않죠! 요즘은 필라테스 엄청 유행하던데요,264,
그냥 집에서 푹 쉬면 되겠지 싶어서 그날은 집에 일찍 들어가서 쉬었지.,충분한 휴식은 일상의 활력이 된답니다.,265,
너무 힘든 날은 하루종일 집에서 쉬었어.,다음 단계로 가기 위한 휴식도 반드시 필요한 과정이랍니다.,265,
힘들면 잠시 앉아서 쉬면 낫더라고..,조금 쉬면 분명 나아질 거예요.,265,
"살이 너무 많이 빠져서 그런가보다, 좀 쉬면 괜찮겠지 했어요.",밥도 든든히 먹으시면 더 좋을거에요.,265,
지금은 방학기간이라 잠시 쉬고 있어요.,잘 하셨어요. 휴식은 반드시 필요한 과정이에요.,265,
가슴도 답답한 게 터져버릴 것 같고…,정말 힘드셨겠어요. 병원은 가보셨나요?,266,
잠에서 깨어날 때 위에서 누가 누르는 것처럼 가슴이 답답해.,가슴이 답답한 것만큼 힘든 게 없죠. 진료를 받아보시는 건 어떠세요?,266,
가슴에 돌덩이 올려놓은 것처럼 답답하고…,신체적인 문제는 없나요? 아니면 혹시 힘든 일이 있으신가요?,266,
가슴도 무거운 게 누르고 있는 것처럼 갑갑하고…,소리를 한번 질러봐요!,266,
"아침마다 속에서 뭔가 꽉 막힌 게 느껴져서 답답하고, 별 일 없는데도 가슴이 떨려요.","으으 저도 답답한거같아요, 빨리 해결됐으면 좋겠어요.",266,
그냥 되게 답답해요. 문을 열어놓거나 해도 답답해요.,샤워를 한번 해보세요.,266,
누가 내 가슴을 짓누르는 것 같고 엄청 답답하고.,왜 그럴까요? 무슨 문제지..,266,
가슴은 갑갑하고… 뭔가 꽉 막혀있는 거 같은?,"으으 저도 답답한거같아요, 빨리 해결됐으면 좋겠어요.",266,
애는 자꾸 보채고… 가슴이 점점 답답해졌어요.,혹시 안좋은 일이 있으신가요.,266,
하루종일 가슴이 꽉 막힌 것처럼 답답해.,콜라 한잔 마셔봐요.,266,
뭐라도 막 쥐어뜯고 싶을 정도로 가슴이 답답하고…,물을 한잔 마셔봐요.,266,
"가슴이 답답하고, 담이 걸린 것처럼 눌린 느낌이 나.",산에 올라가서 한번 소리를 질러보면 어떨까요?,266,
가슴 속에 응어리가 있는 것처럼 답답해서 죽겠어요.,산에 올라가서 한번 소리를 질러보면 어떨까요?,266,
가슴이 답답해서 터질 거 같아요.,가슴을 천천히 두드려봐요.,266,
그래도 뭔가 꽉 막혀 있는 것처럼 가슴이 답답해.,가슴을 천천히 두드려봐요.,266,
아침마다 가슴이 답답하고 떨려요.,잠은 충분히 자셨나요?,266,
그리고 누가 제 가슴 위에 올라타서 엄청 갑갑했어요.,물을 한잔 마셔봐요.,266,
오랜만에 가족여행을 갔다가 돌아오는데 갑자기 가슴이 답답해지는 거예요.,무슨 일이 있으셨나요?,266,
가만히 있는데도 가슴이 벌렁벌렁 떨리고…,긴장되는 일이 있으신가요?,267,
일주일에 세 번 정도 가슴이 미친 듯이 뛰어요.,"잠깐 멈추고 심호흡을 해볼까요? 천천히, 하나, 둘.",267,
근데 그 일 있고 나서 요즘 너무 가슴이 떨려요.,몸이 걱정되나봐요. 좋은 신호라고 생각해봐요.,267,
가만히 있어도 떨리고… 심장 뛰는 소리가 막 들려요.,괜찮아요. 천천히 두드려봐요.,267,
그 후로 사고가 날 뻔한 상황마다 가슴이 엄청 뛰는 거예요.,몸이 걱정되나봐요. 좋은 신호라고 생각해봐요.,267,
근데 요즘에는 그냥 가만히 있어도 너무 가슴이 떨리고…,어딘가 문제일까요. 차근차근 생각해봐요.,267,
가슴이 떨리는 건지 아니면 그냥 내 기분 탓인지 뭔지 모르겠어.,천천히 생각해봅시다. ,267,
가만히 있는데도 진짜 너무 심장 떨려서 와… 핸드폰도 못 잡겠고.,"잠깐 멈추고 심호흡을 해볼까요? 천천히, 하나, 둘.",267,
심장이 이렇게까지 빨리 뛸 수 있나 싶을 정도라니까.,바운스바운스,267,
남편이랑 다퉜던거 생각하면 가슴이 쿵쾅거려요.,에고.. 네 계속 얘기해주세요.,267,
원래도 약간씩 가슴이 아플 때가 있었어요. ,갑자기 가슴이 그렇게 아프면 힘들죠. 충분히 이해합니다.,268,
명치 쪽이 너무 아파서 바닥에 누워있다가 겨우겨우 일어났어요. ,다른 문제가 있는 건 아닐까요? 치료를 권해드립니다.,268,
조금만 움직여도 쇄골 쪽이 뻐근하고 아파.,어디 부딛힌건 아닐까요?,268,
"간만에 집에서 쉬고 있었는데, 갑자기 가슴이 뻐근하면서 아픈 거야.",어떡해. 그 다음은요?,268,
무슨 큰 병이라도 있는 건 아니겠죠?,너무 걱정이 되면 병원에 가서 확실한 진단을 받아 보는 것도 좋답니다.,269,
병원에 가봐야 할까요?,걱정은 반으로 나누면 덜어지죠. 너무 걱정 마세요.,269,
평소 때도 건강 걱정을 많이 하긴 해.,당연하죠. 건강이 젤 중요한데,269,
사소한 사고가 발생해도 병원부터 가.,사소하더라도 체크하는건 잘하시는거같아요.,269,
큰 병이면 어쩌죠?,의사선생님께서는 뭐라고 하시던가요?,269,
혹시 산후풍인가? 아니면 찬 공기에 바람 맞아서 혈관이 잘못된 건가?,걱정은 너무 하지 마시고 차근차근 풀어나가봐요.,269,
나 진짜 몸에 큰 병 있으면 안 되는데.,걱정하지 마세요. 마음은 항상 굳게 잡고 있어야해요.,269,
큰병이면 어쩌죠?,아니에요. 걱정은 하지마세요.,269,
그 진단 받고 나서 그제야 건강 걱정이 되기 시작했어요.,저도 걱정이 되네요. 그 후에는요?,269,
어쩔 때는 사람을 막 패고 싶기도 해.,너무 화가 날 때는 잠시 숨을 고르는 게 좋답니다.,270,
손에 잡히는 거 아무거나 잡아가지고 한바탕 난리를 부렸어.,화나는 건 정말 참기 힘들죠. 하지만 잠깐 멈춰서 상황을 돌아보는 건 어떨까요?,270,
누군가 나를 치기 전에 내가 먼저 쳐야 하는 거 아닌가 이런 생각도 들고.,하지만 그 행동 후에는 오히려 당신이 상처 받을 지도 몰라요.,270,
물건도 다 던지고..,저는 안돼요!,270,
